time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
3549.0697034006234,29575.562754498504,8.33332823138413,498478.9943227599,8068.869233704148,0.0,-5608.910255708636,0.6806028947606007,0.00013541658375999203,69520.55807608335,7.3306813320616335,0.7974350142775887,10594.698626137308,206.75274127059586
3770.0597551742417,31417.14539179864,8.333328231384133,544983.6192827784,8109.308117217341,0.0,-5650.778923106543,0.7105286126167278,0.000135416583759992,69363.814664665,6.161778414945496,0.8533920319668551,10559.64186555169,214.12710705262467
3840.0023509796333,32000.0,8.333328231384135,560039.7493794722,8124.409598945036,0.0,-5664.742131639965,0.72,0.00013541658375999208,69313.95245671309,5.794886433613085,0.8719056802017152,10552.088638090632,216.42809923352345
3840.0023509796333,32000.0,0.16265750288999867,560039.7493794722,8124.409598945036,0.0,-4492.653468653389,0.72,3.61172209673013e-20,69313.95245671309,5.794886433613085,0.6877045947120602,8159.4146198393555,216.42809923352345
4352.842808656562,32083.417348226692,0.16265750289000103,671012.4975602694,8093.407817658726,0.0,-4474.123762109633,0.7200000000000002,1.0901837063205133e-19,69024.25048078412,5.795244293499819,0.6876912933920738,8128.279310845298,216.34879352671084
5060.457968032881,32198.516263057947,0.16265750288999692,824065.4505807396,8050.821690914527,0.0,-4448.64730682611,0.72,1.9121826341865933e-20,68626.48300514459,5.795330934603225,0.6876875987527337,8085.509781585865,216.23932112574042
5284.4157465881135,32234.944676070543,0.16265750288999636,872490.0463366882,8037.389049042065,0.0,-4440.605907842373,0.72,4.10611728587217e-21,68501.06364166067,5.795259272903671,0.6876899948685716,8072.019295522121,216.20466218867844
5284.4157465881135,32234.944676070543,0.16265750288999636,872490.0463366882,8037.389049042065,0.0,-4440.605907842373,0.72,4.10611728587217e-21,68501.06364166067,5.795259272903671,0.6876899948685716,8072.019295522121,216.20466218867844
6331.781727090105,32405.306611070922,0.1626575028899972,1098850.538895868,7974.860716519542,0.0,-4403.137928468556,0.72,3.231156591042787e-20,67917.52985881509,5.794284169772006,0.6877242370929422,8009.221733098562,216.0425032260492
7776.9330097627735,32640.371310008733,0.16265750288999775,1410902.8436403363,7889.369074459636,0.0,-4351.812508330745,0.7200000000000001,1.5163613858746966e-20,67120.45947049378,5.791178881202411,0.6878348790358736,7923.362071006113,215.81856126335057
8234.31844965199,32714.76848351936,0.16265750288999575,1509598.8896466887,7862.500140187799,0.0,-4335.65765690311,0.7200000000000001,-3.811110883741704e-21,66870.13196368224,5.789763327620688,0.6878855022617487,7896.377492046507,215.74763702220866
8234.31844965199,32714.76848351936,0.16265750288999575,1509598.8896466887,7862.500140187799,0.0,-4335.65765690311,0.7200000000000001,-3.811110883741704e-21,66870.13196368224,5.789763327620688,0.6878855022617487,7896.377492046507,215.74763702220866
9479.532973363119,32917.31196850858,0.16265750288999542,1778130.7008639418,7789.808941793772,0.0,-4291.893174682088,0.7200000000000003,-2.254202857613308e-20,66193.32889782854,5.7848351132465865,0.6880621280741471,7823.373473060427,215.55443277847965
11197.67486420559,33196.7806380837,0.1626575028899953,2148254.5855447794,7690.604132364628,0.0,-4232.021993734305,0.72,-3.731738484693393e-20,65270.70155784714,5.775405128855394,0.6884009699713934,7723.741853856184,215.28757184951039
11741.46089820593,33285.23151648065,0.16265750288999387,2265301.976238365,7659.466836404438,0.0,-4213.195165597503,0.7200000000000001,-6.05357149324551e-20,64981.3860488733,5.771775703463515,0.6885315293856139,7692.470631587956,215.20304382561088
11741.46089820593,33285.23151648065,0.16265750288999387,2265301.976238365,7659.466836404438,0.0,-4213.195165597503,0.7200000000000001,-6.05357149324551e-20,64981.3860488733,5.771775703463515,0.6885315293856139,7692.470631587956,215.20304382561088
12788.826878707925,33455.593451481036,0.1626575028899943,2490613.020958466,7599.845357113217,0.0,-4177.097387501774,0.72,-3.0339954767248904e-20,64427.77217693445,5.763895634250072,0.6888152257219221,7632.59276208631,215.04014594527843
14233.978161380594,33690.65815041884,0.16265750288999453,2801216.0294451793,7518.335644693883,0.0,-4127.641512747574,0.7199999999999999,3.0365309473606548e-21,63671.690026810254,5.751065423595102,0.689277803293162,7550.732639682945,214.81518167649784
14691.36360126981,33765.05532392946,0.16265750288999836,2899453.0700908825,7492.720064828583,0.0,-4112.073273398439,0.7199999999999999,8.265595879315601e-20,63434.26448886886,5.746523621902314,0.6894417487341091,7525.006963277781,214.74393321216584
14691.36360126981,33765.05532392946,0.16265750288999836,2899453.0700908825,7492.720064828583,0.0,-4112.073273398439,0.7199999999999999,8.265595879315601e-20,63434.26448886886,5.746523621902314,0.6894417487341091,7525.006963277781,214.74393321216584
15204.204058946738,33848.47267215616,0.16265750288999403,3009561.9537240127,7464.102534580963,0.0,-4094.6654596645803,0.72,-2.0017959708980924e-20,63169.1181191627,5.741152160625694,0.6896357740552331,7496.2664477192975,214.66401881514506
15911.819218323055,33963.57158698741,0.16265750288999364,3161422.4371186136,7424.795970422759,0.0,-4070.7291655035697,0.7199999999999999,1.0891453759055742e-20,62805.11366453107,5.733251637591233,0.6899214112313562,7456.790984746527,214.55370543704703
16135.776996878289,34000.0,0.162657502889996,3209469.4962868122,7412.398943873941,0.0,-4063.173377553374,0.72,3.61172209673013e-20,62690.35161975715,5.730632016724874,0.6900161892585458,7444.340694119846,214.5187800652524
16135.776996878289,34000.0,-17.883449635845896,3209469.4962868122,7412.398943873941,0.0,-2081.758998355126,0.72,-0.00019218035429565701,62690.35161975715,5.730632016724874,0.32155161464734755,3093.581767095862,214.5187800652524
16213.907369443346,32602.759417202917,-17.88344963584589,3226101.213621503,7414.833260476221,0.0,-2086.2071949733504,0.7049848773191956,-0.0001921803542956567,62669.83526380539,6.763115606928759,0.3010906177210296,3039.8197574230635,211.35290812525812
16321.711336948545,30674.85259377933,-17.883449635845903,3248638.256917611,7435.409295339624,0.0,-2090.1799424144124,0.684267072649569,-0.0001921803542956573,62641.468339899555,8.121242416843902,0.27743112336815834,2978.504209656849,206.8806790554273
16355.830924074384,30064.676675818537,-17.883449635845917,3255669.9398210086,7443.944734672528,0.0,-2090.0709674534046,0.6777099583073037,-0.00019218035429565742,62632.480996775426,8.534570799213645,0.27076406668137615,2960.007668023046,205.44035420521385
16355.830924074384,30064.676675818537,-17.883449635845917,3255669.9398210086,7443.944734672528,0.0,-2090.0709674534046,0.6777099583073037,-0.00019218035429565742,62632.480996775426,8.534570799213645,0.27076406668137615,2960.007668023046,205.44035420521385
16515.3953520434,27211.11426456206,-17.883449635845903,3287892.664437478,7480.693426383982,0.0,-2103.6273888891906,0.6470448100072342,-0.00019218035429565726,62590.30713874756,10.819697766980743,0.23807579025955553,2862.6368979693884,198.54796476942107
16735.561695080276,23273.780557353733,-17.88344963584591,3330505.38769765,7516.384136712338,0.0,-2105.5094246132544,0.6047331641984284,-0.00019218035429565745,62531.88027793076,14.052204778129289,0.1966806297002158,2689.7895245185964,188.62062791374956
16805.243589886806,22027.627901050808,-17.88344963584591,3343530.594285891,7516.279232776724,0.0,-2096.6530829485837,0.5913416729665163,-0.0001921803542956576,62513.40818375148,15.142050461608642,0.18433603687311723,2617.207328871485,185.3797590457909
16805.243589886806,22027.627901050808,-17.88344963584591,3343530.594285891,7516.279232776724,0.0,-2096.6530829485837,0.5913416729665163,-0.0001921803542956576,62513.40818375148,15.142050461608642,0.18433603687311723,2617.207328871485,185.3797590457909
16994.94990732844,18635.024527481582,-17.883449635845917,3377828.767396121,7510.52116576042,0.0,-2058.8608459019642,0.554883845668459,-0.00019218035429565772,62463.69190774786,18.15487453736111,0.15408050606857057,2395.772184050107,176.32034565941902
17256.705905790874,13953.924312098105,-17.88344963584591,3422263.96668209,7492.374902485701,0.0,-1963.4460814139584,0.5045794851449349,-0.00019218035429565777,62397.22475718639,22.504143055015508,0.11873605045855871,2027.3165265942703,163.26330289389372
17339.550784341554,12472.372098949196,-17.883449635845917,3435605.5516323047,7470.0984322853055,0.0,-1909.6103816841407,0.48865832703348394,-0.00019218035429565796,62376.93755286248,23.982880402432702,0.10824475889676073,1878.783187208792,158.998851738275
17339.550784341554,12472.372098949196,-17.883449635845917,3435605.5516323047,7470.0984322853055,0.0,-1909.6103816841407,0.48865832703348394,-0.00019218035429565796,62376.93755286248,23.982880402432702,0.10824475889676073,1878.783187208792,158.998851738275
17499.11521231057,9618.809687692725,-17.88344963584592,3460294.521610353,7403.988883471494,0.0,-1773.7936279108612,0.45799317873341433,-0.0001921803542956578,62339.99873912329,26.662073248933087,0.0884718041819128,1544.2006373596337,150.60981861944137
17719.281555347447,5681.475980484389,-17.88344963584591,3492123.7247867687,7246.580926377514,0.0,-1672.825749415605,0.4156815329246083,-0.0001921803542956576,62292.4249710299,30.577395710081,0.04603434770359651,950.2492547423833,138.66141565826337
17788.96345015398,4435.323324181462,-17.883449635845903,3501643.697002473,7187.639365518203,0.0,-1657.0903499578862,0.4022900416926962,-0.00019218035429565734,62277.793910507666,31.724279606575895,0.033775121622562,733.8142905037286,134.79094549067395
17788.96345015398,4435.323324181462,-17.883449635845903,3501643.697002473,7187.639365518203,0.0,-1657.0903499578862,0.4022900416926962,-0.00019218035429565734,62277.793910507666,31.724279606575895,0.033775121622562,733.8142905037286,134.79094549067395
17867.093822719038,3038.0827413843745,-17.883449635845913,3511995.061794134,7122.245016913427,0.0,-1657.640361304897,0.38727491901189176,-0.00019218035429565766,62261.48837981944,33.06681926776494,0.02076181091884361,478.79458137325213,130.40117072492166
17974.897790224233,1110.1759179607957,-17.883449635845913,3525709.9931096737,7046.228395050918,0.0,-1678.4268079423418,0.36655711434226523,-0.0001921803542956577,62238.85764802262,34.74369519280886,0.004624405664787527,115.50642795653292,124.257649356042
18009.017377350072,500.0,-17.883449635845903,3529912.0,7028.568567142325,0.0,-1691.6307591453344,0.36,-0.00019218035429565737,62231.61839077317,35.256161077758456,6.750469980607911e-07,0.017295365636375574,122.29253366343002
